Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BKUS,BNY Mellon Sustainable US Equity ETF,"$8,186",-19.06%,345,$41.37,1.08%,2.77%,0.63%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$50.11,$50.11,$50.11,All Cap Equities,2021-12-14,0.60%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,40.02%,40%,20%,1099,$39.97,$41.85,$41.19,$41.46,55.10,N/A,C,B-,N/A,B-,N/A,N/A,8.17,54.21%,70.19%,188.29,2.32%,10.31%
BOSS,Global X Founder-Run Companies ETF,"$7,715",-30.17%,"1,438",$23.74,1.58%,3.60%,-2.96%,-29.38%,20.67%,41.55%,"-$3,289,414.73",-$690.21,"-$233,039.08","-$3,291,611.38","$7,210,737.35","$7,169,538.73",All Cap Equities,2017-02-13,0.45%,N/A,$0.34,2021-06-29,$0.00,0.91%,49.54,1.21,99,16.79%,40%,20%,1099,$22.65,$24.38,$23.73,$23.75,51.98,B-,C+,B+,A,C,B-,N/A,6.39,43.41%,38.99%,103.8,0.00%,7.39%
FSST,Fidelity Sustainable U.S. Equity ETF,"$7,560",-14.14%,"1,697",$19.11,1.22%,2.52%,0.97%,-12.28%,N/A,N/A,"$2,335,523.08","$465,867.58","$465,867.58","$2,886,330.58","$6,100,168.08","$6,100,168.08",All Cap Equities,2021-06-15,0.59%,N/A,$0.02,2021-09-17,$0.02,0.07%,26.06,1.01,70,29.22%,40%,20%,1099,$18.45,$19.34,$19.11,$19.11,57.24,B,C+,B,B-,B,B+,N/A,9.12,86.97%,88.77%,135.63,3.05%,11.92%
BYOB,SoFi Be Your Own Boss ETF,"$7,540",-51.93%,"1,718",$13.85,1.24%,3.39%,-5.20%,-52.12%,-20.28%,N/A,"-$783,990.00",$0.00,$0.00,"-$783,990.00","-$783,990.00","-$783,990.00",All Cap Equities,2019-05-08,0.59%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77,29.43%,40%,20%,1099,$12.76,$14.47,$13.70,$14.04,52.14,C+,B,B+,C,C,N/A,N/A,5.59,5.46%,30.29%,12.1,1.94%,2.72%
KNGS,UPHOLDINGS Compound Kings ETF,"$7,447",-34.67%,969,$17.79,2.71%,5.06%,-1.21%,-34.92%,N/A,N/A,"-$4,361.00",$0.00,$0.00,"-$4,361.00","$8,857,558.00","$8,857,558.00",All Cap Equities,2020-12-30,0.60%,N/A,$0.06,2021-06-14,$0.06,0.21%,0.00,1.37,22,62.92%,40%,20%,1099,$16.59,$18.02,$17.73,$17.82,55.49,C+,C+,B-,N/A,C,A-,N/A,7.31,13.50%,51.10%,6.4,0.00%,4.13%
PFUT,Putnam Sustainable Future ETF,"$7,068",-29.13%,"2,022",$17.90,1.42%,2.87%,-0.35%,-29.31%,N/A,N/A,"$927,053.39",$0.00,$0.00,"$927,053.39","$1,564,861.32","$1,564,861.32",All Cap Equities,2021-05-25,0.64%,N/A,$0.00,N/A,N/A,0.00%,29.27,1.38,52,36.91%,40%,20%,1099,$17.22,$18.12,$17.82,$18.05,54.89,C,B-,B,C,C+,C,N/A,7.98,37.66%,65.54%,105.85,2.57%,14.93%
CBSE,Changebridge Capital Sustainable Equity ETF,"$5,976",-18.07%,"1,295",$22.38,1.40%,0.68%,-4.79%,-17.78%,N/A,N/A,"-$1,639,155.00",$0.00,$0.00,"-$1,639,155.00","$7,048,707.62","$7,048,707.62",All Cap Equities,2020-11-13,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.26,39,37.27%,40%,20%,1099,$21.81,$23.60,$22.28,$22.57,46.47,C,C,C,N/A,C+,C,N/A,6.57,49.20%,40.66%,240.12,4.98%,0.65%
ESMV,iShares ESG MSCI USA Min Vol Factor ETF,"$5,880",-8.47%,"1,092",$23.49,-0.09%,1.07%,2.76%,-6.17%,N/A,N/A,"$1,234,821.50",$0.00,"$1,185,211.50","$1,234,821.50","$1,234,821.50","$1,234,821.50",All Cap Equities,2021-11-02,0.18%,N/A,$0.00,N/A,N/A,0.00%,N/A,0.00,153,15.42%,40%,20%,1099,$22.73,$23.83,$23.44,$23.52,59.04,B,C+,A,N/A,B+,B,N/A,9.22,89.16%,90.24%,119.49,4.54%,11.94%
PLDR,Putnam Sustainable Leaders ETF,"$5,586",-18.40%,846,$22.52,0.76%,2.28%,0.50%,-17.62%,N/A,N/A,"-$551,530.34",$0.00,"-$558,193.20","-$551,530.34","-$551,530.34","-$551,530.34",All Cap Equities,2021-05-25,0.59%,N/A,$0.00,N/A,N/A,0.00%,30.39,1.08,62,37.01%,40%,20%,1099,$21.87,$22.81,$22.36,$22.81,55.92,C+,C,B,B-,B,C,N/A,8.43,64.48%,76.04%,165.31,3.98%,9.31%
NVQ,QRAFT AI-Enhanced US Next Value ETF,"$4,884",1.36%,605,$32.53,0.00%,1.27%,-0.12%,4.74%,N/A,N/A,"-$872,750.00","-$808,225.00","-$806,075.00","-$872,750.00","$1,308,675.00","$1,308,675.00",All Cap Equities,2020-12-02,0.75%,N/A,$0.27,2021-09-27,$0.13,0.82%,17.98,1.12,101,42.23%,40%,20%,1099,$31.84,$33.50,$32.53,$32.53,54.14,B-,C,C+,N/A,B+,A-,N/A,7.04,9.31%,46.87%,72.92,1.24%,2.83%
