Quarter,WAL,Aaa/AAA,Aa1/AA+,Aa2/AA,Aa3/AA-,A1/A+,A2/A,A3/A-,Baa1/BBB+,Baa2/BBB,Baa3/BBB-
2024Q3,28,37.13,55.17,73.21,79.29,85.37,91.44,107.66,123.88,140.1,149.8
2024Q3,29,35.92,54.89,73.86,79.62,85.39,91.15,107.62,124.09,140.56,150.03
2024Q3,30,34.71,54.61,74.5,79.95,85.41,90.86,107.58,124.3,141.02,150.26
2024Q4,1,9.83,18.69,27.56,35.36,43.16,50.96,59.43,67.91,76.38,121.19
2024Q4,2,21.79,28.51,35.23,43.18,51.12,59.07,68.18,77.29,86.41,126.2
2024Q4,3,33.74,38.32,42.9,50.99,59.09,67.19,76.93,86.68,96.43,131.21
2024Q4,4,45.7,48.13,50.57,58.81,67.06,75.3,85.68,96.07,106.45,136.22
2024Q4,5,43.91,47.69,51.47,61.08,70.69,80.3,90.51,100.73,110.94,138.47
2024Q4,6,42.11,47.25,52.38,63.36,74.33,85.3,95.34,105.38,115.42,140.71
2024Q4,7,47.43,52.46,57.48,68.46,79.44,90.43,100.25,110.08,119.9,142.95
2024Q4,8,52.75,57.66,62.58,73.57,84.56,95.55,106.45,117.36,128.26,147.13
2024Q4,9,58.07,62.87,67.68,78.68,89.68,100.67,112.65,124.63,136.61,151.3
2024Q4,10,57.24,62.74,68.24,79.03,89.81,100.6,112.81,125.03,137.24,151.62
2024Q4,11,56.42,62.61,68.81,79.38,89.95,100.52,112.97,125.42,137.87,151.93
2024Q4,12,55.6,62.48,69.37,79.73,90.08,100.44,113.13,125.82,138.5,152.25
2024Q4,13,54.78,62.35,69.93,80.07,90.22,100.36,113.29,126.21,139.13,152.56
2024Q4,14,53.95,62.22,70.49,80.42,90.35,100.28,113.44,126.6,139.76,152.88
2024Q4,15,53.13,62.09,71.06,80.77,90.49,100.21,113.6,127,140.39,153.19
2024Q4,16,52.31,61.96,71.62,81.12,90.63,100.13,113.76,127.39,141.02,153.51
2024Q4,17,51.49,61.83,72.18,81.47,90.76,100.05,113.92,127.79,141.65,153.82
2024Q4,18,50.66,61.7,72.74,81.82,90.9,99.97,114.08,128.18,142.28,154.14
2024Q4,19,49.84,61.57,73.3,82.17,91.03,99.9,114.24,128.57,142.91,154.45
2024Q4,20,49.02,61.44,73.87,82.52,91.17,99.82,114.39,128.97,143.54,154.77
2024Q4,21,48.2,61.31,74.43,82.87,91.3,99.74,114.55,129.36,144.17,155.08
2024Q4,22,47.37,61.18,74.99,83.22,91.44,99.66,114.71,129.76,144.8,155.4
2024Q4,23,46.55,61.05,75.55,83.56,91.58,99.59,114.87,130.15,145.43,155.71
2024Q4,24,45.73,60.92,76.12,83.91,91.71,99.51,115.03,130.54,146.06,156.03
2024Q4,25,44.9,60.79,76.68,84.26,91.85,99.43,115.18,130.94,146.69,156.34
2024Q4,26,44.08,60.66,77.24,84.61,91.98,99.35,115.34,131.33,147.32,156.66
2024Q4,27,43.26,60.53,77.8,84.96,92.12,99.28,115.5,131.73,147.95,156.97
2024Q4,28,42.44,60.4,78.37,85.31,92.25,99.2,115.66,132.12,148.58,157.29
2024Q4,29,41.61,60.27,78.93,85.66,92.39,99.12,115.82,132.51,149.21,157.6
2024Q4,30,40.79,60.14,79.49,86.01,92.53,99.04,115.98,132.91,149.84,157.92
